region	threshold	split_rate	split_iqr	lump_rate	lump_iqr
v19	0	0.5	0.0023805718479623095	0.03589586497757518	0.0010469203598054838
v19	0.001	0.3847388645824872	0.0019470247600320012	0.05431800125244153	0.0014321862104751878
v19	0.002	0.32998074042371067	0.002586639216617892	0.06810817989179499	0.0018360050498925223
v19	0.003	0.24168181360339902	0.0019396701045213127	0.0858209149175304	0.0016240682808515844
v19	0.004	0.21628852121948472	0.0022630243594703447	0.09362995401459924	0.0015348373784280084
v19	0.005	0.17285667467293092	0.0021128825520627115	0.106895192025937	0.0013620589438702868
v19	0.008	0.125	0.0018263862198059366	0.12901381813349794	0.0013089288920375974
v19	0.01	0.10080256937258339	0.0015364702273232833	0.14205171668906955	0.0011642347172899636
v19	0.015	0.06377059704686497	0.0013012069032206919	0.16687844466474921	0.0012230762724300681
v19	0.02	0.05031042603296938	0.001477268608475267	0.19628231311930633	0.001131333357693165
v19	0.025	0.04088184931506849	0.0012802810360706685	0.21997206703910616	0.0012690125920211959
v19	0.03	0.040445110207575435	0.0010702054794520521	0.252202222663256	9.9039316284677e-4
v19	0.035	0.032751793161242646	0.0011361209829568938	0.2699937107883525	0.0011401154242600131
v19	0.04	0.024189232857649796	8.719802280855657e-4	0.2948216157028523	0.0013887778585655597
v19	0.045	0.027828320986676758	8.576765557227195e-4	0.3232222774738936	0.0013473473143379433
v19	0.05	0.02247431506849315	6.469805679462023e-4	0.3347732181425486	0.0013533262355238107
v19	0.055	0.019914346895074948	8.532188908097101e-4	0.34964622641509435	0.0013949204299020246
v19	0.06	0.01990795270585337	6.446221792305966e-4	0.3597423756998225	0.0017534087130030018
v19	0.065	0.01797945205479452	8.482878177736332e-4	0.3833570412517781	0.0016167676444527324
v19	0.07	0.01948190965532006	7.030738977747419e-4	0.39814814814814814	0.0015331274138601914
v19	0.075	0.013270547945205479	6.973343570517501e-4	0.41354337849848544	0.001717585015457379
v19	0.08	0.011986301369863013	8.493569590075582e-4	0.42038216560509556	0.001839777869189596
v19	0.085	0.011344178082191781	4.853003650230319e-4	0.4295499021526419	0.001398365958684089
v19	0.09	0.012842465753424657	4.316696685800637e-4	0.4256900212314225	0.0015160422366427562
v19	0.095	0.012838344000591166	6.369418281959131e-4	0.4349315068493151	0.001487796941099906
v19	0.1	0.014982876712328766	4.409100779839085e-4	0.45431789737171463	0.0011372180451127978
v34	0	0.27477145577591977	0.0025215381382643343	0.10249728069353517	0.0017340375583621281
v34	0.001	0.27477145577591977	0.0025215381382643343	0.10249728069353517	0.0017340375583621281
v34	0.002	0.27477145577591977	0.0025215381382643343	0.10249728069353517	0.0017340375583621281
v34	0.003	0.16966256888834355	0.002249952896642343	0.14255133008984794	0.0022473793852103574
v34	0.004	0.16966256888834355	0.002249952896642343	0.14255133008984794	0.0022473793852103574
v34	0.005	0.12241250399676373	0.0023118957545187058	0.1655588374065559	0.0017614249796001347
v34	0.008	0.0918163682787677	0.0018911536036982507	0.186706348264794	0.0016928908277984989
v34	0.01	0.0815297331372137	0.001545339502469767	0.20307513780098638	0.0015313635228573486
v34	0.015	0.06272982495499776	0.0016578785264337245	0.22438476726022344	0.0012754909394506186
v34	0.02	0.05357142857142857	0.0014626608233544586	0.25478857968919405	0.0011138819281233947
v34	0.025	0.041395251103172936	0.0012922974635908857	0.2743221690590112	0.0012317359893723179
v34	0.03	0.029000735846091842	0.0010630975119754749	0.29437609841827767	0.0013002999333416865
v34	0.035	0.02500525320445472	8.510213669326513e-4	0.3163911134073883	0.001352284207780774
v34	0.04	0.021962969376144066	8.45059604005504e-4	0.3428187980987655	0.0012747153135799771
v34	0.045	0.019121664215171256	0.0010368158794183922	0.3562243810460731	0.00138869929275115
v34	0.05	0.022063458709812987	8.416494355674604e-4	0.3714644877435575	0.0011379501026044236
v34	0.055	0.01849127968060517	8.881628361123613e-4	0.3715064758009543	9.339241694381606e-4
v34	0.06	0.01639344262295082	6.32117580263384e-4	0.37384221381238647	0.0014803849000740166
v34	0.065	0.014083026955342817	8.945122628950235e-4	0.3853658536585366	0.0012840970058106138
v34	0.07	0.013656896883569566	6.282978266174896e-4	0.38932998429164656	0.0017299520486530606
v34	0.075	0.01155704980037823	6.329911990939577e-4	0.4072657743785851	0.0019700213936486577
v34	0.08	0.01030277589702883	6.303845345660853e-4	0.4214541958294995	0.0014453018385728322
v34	0.085	0.010926665265812145	6.303845345660853e-4	0.44224422442244227	0.0015838168417751097
v34	0.09	0.012609015585257323	4.255548373195434e-4	0.4470868014268728	0.001723991145921977
v34	0.095	0.0130293161047659	6.275592817501039e-4	0.44726810673443457	0.0018427578159186941
v34	0.1	0.013658331582265182	6.781998847473665e-4	0.46227709190672156	0.002001386728632204
v4	0	0.1544442109686909	0.0028533461065057553	0.1494172071861643	0.00163631100477446
v4	0.001	0.1544442109686909	0.0028533461065057553	0.1494172071861643	0.00163631100477446
v4	0.002	0.1544442109686909	0.0028533461065057553	0.1494172071861643	0.00163631100477446
v4	0.003	0.1544442109686909	0.0028533461065057553	0.1494172071861643	0.00163631100477446
v4	0.004	0.08216011767177979	0.0020971286569073933	0.20829088521651207	0.001539414069942624
v4	0.005	0.08277310924369748	0.0020967698500224397	0.2085638819926871	0.0018199115301575919
v4	0.008	0.05378151260504202	0.001672678593715178	0.23946975109091895	0.001083161941905636
v4	0.01	0.05296343001261034	0.0017310843347102464	0.24050419738908715	0.0012577513329635748
v4	0.015	0.04266498528793611	0.0014445925091666548	0.2652450430228208	0.001391427463799888
v4	0.02	0.026476150451775583	8.971502028001788e-4	0.305829596412556	0.0011071618121218374
v4	0.025	0.023334034055076728	0.0010407946280656041	0.3156370656370656	0.0012867942222698492
v4	0.03	0.021330220126730533	0.0010517891323543402	0.3303850156087409	0.0013844234343713957
v4	0.035	0.021860220945606763	8.989271602514448e-4	0.3313053097345133	0.0012877107669215793
v4	0.04	0.02101281781886951	8.45017352135876e-4	0.353643216080402	0.001517415912995701
v4	0.045	0.016819089852623897	8.370679885221777e-4	0.36664415935178934	0.0012359333068577283
v4	0.05	0.016389997898718218	8.336247487645727e-4	0.37247838616714696	0.001304211318620574
v4	0.055	0.014291719209751997	8.406893652795292e-4	0.3808036725537621	9.381637798801523e-4
v4	0.06	0.015759613364152134	8.372888041781167e-4	0.40467937608318894	0.0012155664404799316
v4	0.065	0.01282455601262572	8.307358664069557e-4	0.4221198156682028	0.0014537770196297872
v4	0.07	0.011563124273678928	8.938407564910173e-4	0.4216163583252191	0.001536339836098466
v4	0.075	0.00987602437486867	8.388903996143539e-4	0.42983360401450976	0.0013747422081158978
v4	0.08	0.01008827238335435	6.287291129942214e-4	0.4487034949267193	0.0014054258108618378
v4	0.085	0.0098749869773503	6.303845345660853e-4	0.45878136200716846	0.001739484156897786
v4	0.09	0.008830022172627546	6.310030226467436e-4	0.4514501891551072	0.0012594458438286993
v4	0.095	0.01155704980037823	6.81901133295252e-4	0.4544198895027624	0.0017838709134446185
v4	0.1	0.007773109243697479	2.659189760233528e-4	0.4796380090497738	0.0015128593040846794
v45	0	0.19625971842824122	0.0027748249174401884	0.12041507354571193	0.0012028448514613543
v45	0.001	0.19625971842824122	0.0027748249174401884	0.12041507354571193	0.0012028448514613543
v45	0.002	0.19625971842824122	0.0027748249174401884	0.12041507354571193	0.0012028448514613543
v45	0.003	0.11079575440415992	0.002037137436338002	0.17053085285763686	0.0013789882388562935
v45	0.004	0.1113679344400084	0.0020661133073832105	0.170500485241725	0.001400199498151844
v45	0.005	0.1113679344400084	0.0020661133073832105	0.170500485241725	0.001400199498151844
v45	0.008	0.06368891294729662	0.0016608913241097645	0.2069538966410867	0.0015831382344844713
v45	0.01	0.058403361344537816	0.0014559000625585725	0.22227517151582682	0.0017671835834471017
v45	0.015	0.04119377889869693	0.0012634309050806591	0.255775580664356	0.001226326908738029
v45	0.02	0.03467114940113469	0.0012644117759396459	0.2910758965804837	8.572130899193176e-4
v45	0.025	0.027952921395544346	8.464747354650498e-4	0.3079593207214893	0.0010417702403609508
v45	0.03	0.027100840336134455	0.0010622140636753312	0.32215447154471544	0.0013121454965933643
v45	0.035	0.021222945997058207	8.920405238828401e-4	0.33557046979865773	0.0013120914391560046
v45	0.04	0.02017230510611473	0.0010434520462498827	0.3510506798516687	0.0012376237623762387
v45	0.045	0.015549485185963437	8.938604436326877e-4	0.364604125083167	0.0013754329657406639
v45	0.05	0.015132408575031526	8.374212935716753e-4	0.380327803583278	0.0017343010453583219
v45	0.055	0.01407563025210084	0.0010485210606464897	0.3933649289099526	0.0012694428313632655
v45	0.06	0.013238075225887791	0.0010464352712167974	0.4082687338501292	0.0010276730295884495
v45	0.065	0.01092896174863388	4.301185204669544e-4	0.4148148148148148	0.0013080925616555938
v45	0.07	0.011874695210296063	6.255255689153055e-4	0.4236867436743674	0.001984126984126977
v45	0.075	0.00903741067675494	4.24143528898014e-4	0.4256900212314225	0.0013542661070984896
v45	0.08	0.009247583018074821	4.2423187372802804e-4	0.43557582668187	0.0016339234116217183
v45	0.085	0.009033613445378152	6.323277123383222e-4	0.4316546762589928	0.0015914746266956215
v45	0.09	0.006937874564207358	6.289713143680948e-4	0.4385297845373891	0.001772255174047943
v45	0.095	0.008827238335435058	4.222444956893251e-4	0.45938375350140054	0.0014025245441794953
v45	0.1	0.006934229880226938	4.188431361793997e-4	0.4817073170731707	0.001468623281861814
