iteration	region	threshold	true_pos	false_pos	true_neg	false_neg
1	v4	0	108045	491488	399346594	13874
1	v34	0	90827	189070	399649012	31092
1	v45	0	103699	342390	399495692	18220
1	v19	0	51257	12603	383088231	67685
1	v4	0.001	108045	491488	399346594	13874
1	v4	0.002	108045	491488	399346594	13874
1	v4	0.003	108045	491488	399346594	13874
1	v4	0.004	113719	542604	399295478	8200
1	v4	0.005	113549	547658	399290424	8370
1	v4	0.008	117061	1024736	398813346	4858
1	v4	0.01	117109	1032070	398806012	4810
1	v4	0.015	117959	1241346	398596736	3960
1	v4	0.02	119523	2042044	397796038	2396
1	v4	0.025	119895	2407894	397430188	2024
1	v4	0.03	120017	2713546	397124536	1902
1	v4	0.035	120079	3099378	396738704	1840
1	v4	0.04	120211	4211112	395626970	1708
1	v4	0.045	120383	4947558	394890524	1536
1	v4	0.05	120525	6039296	393798786	1394
1	v4	0.055	120819	7169442	392668640	1100
1	v4	0.06	120425	8333452	391504630	1494
1	v4	0.065	121075	10189716	389648366	844
1	v4	0.07	121119	11565930	388272152	800
1	v4	0.075	121289	12741580	387096502	630
1	v4	0.08	121295	14187128	385650954	624
1	v4	0.085	121343	14873490	384964592	576
1	v4	0.09	121401	15717384	384120698	518
1	v4	0.095	121099	18077711	381760371	820
1	v4	0.1	121529	18934503	380903579	390
1	v34	0.001	90827	189070	399649012	31092
1	v34	0.002	90827	189070	399649012	31092
1	v34	0.003	101809	213032	399625050	20110
1	v34	0.004	101809	213032	399625050	20110
1	v34	0.005	108301	309562	399528520	13618
1	v34	0.008	112357	417754	399420328	9562
1	v34	0.01	113881	482838	399355244	8038
1	v34	0.015	115681	761148	399076934	6238
1	v34	0.02	116629	1036074	398802008	5290
1	v34	0.025	117795	1339548	398498534	4124
1	v34	0.03	119611	2357624	397480458	2308
1	v34	0.035	119983	2888290	396949792	1936
1	v34	0.04	119863	3363488	396474594	2056
1	v34	0.045	120463	3800076	396038006	1456
1	v34	0.05	119899	4186340	395651742	2020
1	v34	0.055	120209	4744496	395093586	1710
1	v34	0.06	120415	5819740	394018342	1504
1	v34	0.065	120733	6552894	393285188	1186
1	v34	0.07	120859	7543212	392294870	1060
1	v34	0.075	121181	8082438	391755644	738
1	v34	0.08	121243	9867952	389970130	676
1	v34	0.085	121209	10826756	389011326	710
1	v34	0.09	121017	12449018	387389064	902
1	v34	0.095	121075	14749826	385088256	844
1	v34	0.1	120731	16310072	383528010	1188
1	v45	0.001	103699	342390	399495692	18220
1	v45	0.002	103699	342390	399495692	18220
1	v45	0.003	110367	374620	399463462	11552
1	v45	0.004	110237	378338	399459744	11682
1	v45	0.005	110237	378338	399459744	11682
1	v45	0.008	115925	636578	399201504	5994
1	v45	0.01	116381	702034	399136048	5538
1	v45	0.015	118185	1064934	398773148	3734
1	v45	0.02	118655	1502778	398335304	3264
1	v45	0.025	119187	2208255	397629827	2732
1	v45	0.03	119665	2644380	397193702	2254
1	v45	0.035	120213	3301778	396536304	1706
1	v45	0.04	120205	5215004	394623078	1714
1	v45	0.045	120725	6011004	393827078	1194
1	v45	0.05	120839	6806808	393031274	1080
1	v45	0.055	120589	8033662	391804420	1330
1	v45	0.06	120845	9909904	389928178	1074
1	v45	0.065	121213	10816178	389021904	706
1	v45	0.07	121033	11853272	387984810	886
1	v45	0.075	121339	12957370	386880712	580
1	v45	0.08	121325	13695580	386142502	594
1	v45	0.085	121439	14342896	385495186	480
1	v45	0.09	121481	15700582	384137500	438
1	v45	0.095	121361	17023644	382814438	558
1	v45	0.1	121453	17942247	381895835	466
1	v19	0.001	63239	17356	383083478	55703
1	v19	0.002	73056	35398	383065436	45886
1	v19	0.003	87928	82268	383018566	31014
1	v19	0.004	92404	109542	382991292	26538
1	v19	0.005	98628	150110	382950724	20314
1	v19	0.008	105060	266546	382834288	13882
1	v19	0.01	108132	319024	382781810	10810
1	v19	0.015	113002	459934	382640900	5940
1	v19	0.02	114346	650100	382450734	4596
1	v19	0.025	115226	951806	382149028	3716
1	v19	0.03	115452	1391440	381709394	3490
1	v19	0.035	116302	1909819	381191015	2640
1	v19	0.04	116950	2621588	380479246	1992
1	v19	0.045	116596	3349938	379750896	2346
1	v19	0.05	117198	3934286	379166548	1744
1	v19	0.055	117316	4393162	378707672	1626
1	v19	0.06	117302	5603450	377497384	1640
1	v19	0.065	117172	6008152	377092682	1770
1	v19	0.07	117038	6896568	376204266	1904
1	v19	0.075	117796	7429720	375671114	1146
1	v19	0.08	117926	7762034	375338800	1016
1	v19	0.085	118046	8248766	374852068	896
1	v19	0.09	118106	9004788	374096046	836
1	v19	0.095	118130	10264231	372836603	812
1	v19	0.1	117724	11563744	371537090	1218
2	v4	0	107738	478218	399800044	14100
2	v34	0	90780	186288	400091974	31058
2	v45	0	103662	337442	399940820	18176
2	v19	0	51490	13031	383283729	67311
2	v4	0.001	107738	478218	399800044	14100
2	v4	0.002	107738	478218	399800044	14100
2	v4	0.003	107738	478218	399800044	14100
2	v4	0.004	113610	531684	399746578	8228
2	v4	0.005	113394	534824	399743438	8444
2	v4	0.008	116674	998442	399279820	5164
2	v4	0.01	116750	1005634	399272628	5088
2	v4	0.015	117898	1228254	399050008	3940
2	v4	0.02	119480	2020946	398257316	2358
2	v4	0.025	119866	2382410	397895852	1972
2	v4	0.03	120020	2697618	397580644	1818
2	v4	0.035	120028	3071368	397206894	1810
2	v4	0.04	120122	4179856	396098406	1716
2	v4	0.045	120428	4927404	395350858	1410
2	v4	0.05	120526	6014562	394263700	1312
2	v4	0.055	120758	7120036	393158226	1080
2	v4	0.06	120450	8272212	392006050	1388
2	v4	0.065	120976	10117754	390160508	862
2	v4	0.07	121048	11460550	388817712	790
2	v4	0.075	121232	12657326	387620936	606
2	v4	0.08	121170	14167940	386110322	668
2	v4	0.085	121262	14877882	385400380	576
2	v4	0.09	121326	15690880	384587382	512
2	v4	0.095	120888	17963423	382314839	950
2	v4	0.1	121434	18823075	381455187	404
2	v34	0.001	90780	186288	400091974	31058
2	v34	0.002	90780	186288	400091974	31058
2	v34	0.003	101830	211596	400066666	20008
2	v34	0.004	101830	211596	400066666	20008
2	v34	0.005	108100	306518	399971744	13738
2	v34	0.008	112120	415234	399863028	9718
2	v34	0.01	113752	479742	399798520	8086
2	v34	0.015	115670	749348	399528914	6168
2	v34	0.02	116608	1027494	399250768	5230
2	v34	0.025	117724	1332020	398946242	4114
2	v34	0.03	119466	2360640	397917622	2372
2	v34	0.035	119944	2887388	397390874	1894
2	v34	0.04	119786	3344166	396934096	2052
2	v34	0.045	120318	3779760	396498502	1520
2	v34	0.05	119826	4162712	396115550	2012
2	v34	0.055	120142	4717632	395560630	1696
2	v34	0.06	120388	5826974	394451288	1450
2	v34	0.065	120684	6584026	393694236	1154
2	v34	0.07	120664	7527462	392750800	1174
2	v34	0.075	121080	8048304	392229958	758
2	v34	0.08	121126	9807806	390470456	712
2	v34	0.085	121124	10766482	389511780	714
2	v34	0.09	120948	12381734	387896528	890
2	v34	0.095	120972	14661838	385616424	866
2	v34	0.1	120546	16137608	384140654	1292
2	v45	0.001	103662	337442	399940820	18176
2	v45	0.002	103662	337442	399940820	18176
2	v45	0.003	110600	370370	399907892	11238
2	v45	0.004	110554	375378	399902884	11284
2	v45	0.005	110554	375378	399902884	11284
2	v45	0.008	115784	625384	399652878	6054
2	v45	0.01	116280	692802	399585460	5558
2	v45	0.015	118154	1060690	399217572	3684
2	v45	0.02	118650	1496482	398781780	3188
2	v45	0.025	119276	2204569	398073693	2562
2	v45	0.03	119722	2646986	397631276	2116
2	v45	0.035	120284	3295840	396982422	1554
2	v45	0.04	120208	5233172	395045090	1630
2	v45	0.045	120652	5958228	394320034	1186
2	v45	0.05	120738	6770996	393507266	1100
2	v45	0.055	120480	7939832	392338430	1358
2	v45	0.06	120884	9856748	390421514	954
2	v45	0.065	121098	10742994	389535268	740
2	v45	0.07	120988	11777566	388500696	850
2	v45	0.075	121234	12888606	387389656	604
2	v45	0.08	121326	13615834	386662428	512
2	v45	0.085	121188	14202928	386075334	650
2	v45	0.09	121382	15604324	384673938	456
2	v45	0.095	121278	16962834	383315428	560
2	v45	0.1	121356	17843527	382434735	482
2	v19	0.001	63543	18004	383278756	55258
2	v19	0.002	73341	37124	383259636	45460
2	v19	0.003	88037	84010	383212750	30764
2	v19	0.004	92455	111582	383185178	26346
2	v19	0.005	98773	152800	383143960	20028
2	v19	0.008	104975	265258	383031502	13826
2	v19	0.01	108009	313634	382983126	10792
2	v19	0.015	112679	450076	382846684	6122
2	v19	0.02	114175	642040	382654720	4626
2	v19	0.025	115147	947564	382349196	3654
2	v19	0.03	115333	1390414	381906346	3468
2	v19	0.035	116101	1896533	381400227	2700
2	v19	0.04	116791	2608020	380688740	2010
2	v19	0.045	116505	3317326	379979434	2296
2	v19	0.05	117179	3920374	379376386	1622
2	v19	0.055	117237	4400844	378895916	1564
2	v19	0.06	117219	5564252	377732508	1582
2	v19	0.065	117107	5978362	377318398	1694
2	v19	0.07	117013	6875336	376421424	1788
2	v19	0.075	117599	7363454	375933306	1202
2	v19	0.08	117831	7733066	375563694	970
2	v19	0.085	117961	8212346	375084414	840
2	v19	0.09	117995	8949418	374347342	806
2	v19	0.095	117973	10204179	373092581	828
2	v19	0.1	117547	11481434	371815326	1254
3	v4	0	108554	496072	399861966	13552
3	v34	0	91216	190838	400167200	30890
3	v45	0	104298	351134	400006904	17808
3	v19	0	51613	13775	383478511	67497
3	v4	0.001	108554	496072	399861966	13552
3	v4	0.002	108554	496072	399861966	13552
3	v4	0.003	108554	496072	399861966	13552
3	v4	0.004	114268	547658	399810380	7838
3	v4	0.005	114004	550172	399807866	8102
3	v4	0.008	117340	1007862	399350176	4766
3	v4	0.01	117394	1014834	399343204	4712
3	v4	0.015	118314	1233510	399124528	3792
3	v4	0.02	119758	2029636	398328402	2348
3	v4	0.025	120114	2395982	397962056	1992
3	v4	0.03	120190	2701466	397656572	1916
3	v4	0.035	120310	3093592	397264446	1796
3	v4	0.04	120422	4205768	396152270	1684
3	v4	0.045	120662	4966284	395391754	1444
3	v4	0.05	120798	6033870	394324168	1308
3	v4	0.055	121040	7166280	393191758	1066
3	v4	0.06	120668	8337158	392020880	1438
3	v4	0.065	121356	10198930	390159108	750
3	v4	0.07	121294	11508992	388849046	812
3	v4	0.075	121552	12771978	387586060	554
3	v4	0.08	121558	14221068	386136970	548
3	v4	0.085	121606	14938774	385419264	500
3	v4	0.09	121600	15741092	384616946	506
3	v4	0.095	121396	18104295	382253743	710
3	v4	0.1	121740	18921727	381436311	366
3	v34	0.001	91216	190838	400167200	30890
3	v34	0.002	91216	190838	400167200	30890
