region	n_rrns	threshold	iqr	n_genomes
v19	1	0	0	829
v19	2	0.005	0	1146
v19	3	0.0125	0	925
v19	4	0.0175	0	718
v19	5	0.0275	0	440.5
v19	6	0.03	0	575
v19	7	0.0525	0	467
v19	8	0.0375	0	306
v19	9	0.0725	0	161
v19	10	0.025	0	118
v19	11	0.1	0	63.5
v19	12	0.0575	0	41
v19	13	0.03	0	26
v19	14	0.09	0	34
v19	15	0.07	0	10
v19	16	0.0125	0	3
v19	17	0.025	0	5
v19	18	0.005	0	1
v19	19	0.0125	0	1
v19	20	0.015	0	1
v19	21	0.01	0	1
v34	1	0	0	835
v34	2	0.005	0	1159
v34	3	0.005	0	947
v34	4	0.0175	0	733.5
v34	5	0.03	0	448
v34	6	0.03	0	584
v34	7	0.0525	0	471
v34	8	0.045	0	313
v34	9	0.035	0	164
v34	10	0.03	0	121
v34	11	0.0725	0	62
v34	12	0.075	0	43
v34	13	0.03875	0	27
v34	14	0.0725	0	36
v34	15	0.0325	0	10
v34	16	0.0025	0	3
v34	17	0.0675	0	5
v34	18	0.005	0	1
v34	19	0.0075	0	1
v34	20	0.0125	0	1
v34	21	0.005	0	1
v4	1	0	0	834
v4	2	0.005	0	1160
v4	3	0.005	0	947
v4	4	0.01	0	733.5
v4	5	0.0175	0	448
v4	6	0.0175	0	584
v4	7	0.025	0	471
v4	8	0.025	0	313
v4	9	0.04	0	164
v4	10	0.0325	0	121
v4	11	0.055	0	62
v4	12	0.065	0	43
v4	13	0.04	0	27
v4	14	0.0475	0	36
v4	15	0.0175	0	10
v4	16	0.005	0	3
v4	18	0.005	0	1
v4	19	0.03	0	1
v4	20	0.0125	0	1
v4	21	0	0	1
v45	1	0	0	834
v45	2	0.005	0	1160
v45	3	0.0075	0	947
v45	4	0.0125	0	733.5
v45	5	0.0225	0	448
v45	6	0.0175	0	584
v45	7	0.0375	0	471
v45	8	0.04625	0	313
v45	9	0.04	0	164
v45	10	0.025	0	121
v45	11	0.0275	0	62
v45	12	0.055	0	43
v45	13	0.03	0	27
v45	14	0.055	0	36
v45	15	0.015	0	10
v45	16	0.01	0	3
v45	17	0.08	0	5
v45	18	0.005	0	1
v45	19	0.0075	0	1
v45	20	0.01	0	1
v45	21	0	0	1
